File 1  File 2  Percent Similarity
52	53	100%
2	8	100%
2	52	100%
2	53	100%
8	52	100%
8	53	100%
23	42	98.0431%
14	22	97.732%
14	15	92.7835%
34	38	92.6764%
20	42	91.5351%
31	42	90.4673%
21	23	90.1841%
21	42	90.1841%
14	21	89.0722%
6	42	88.785%
12	27	87.8505%
14	20	87.4227%
21	27	87.3211%
21	46	87.3211%
21	48	87.3211%
16	46	86.9976%
5	46	85.8252%
15	27	85.0505%
15	46	85.0505%
9	29	84.8752%
5	28	83.6893%
14	46	83.299%
14	48	83.299%
23	24	82.7789%
46	47	82.643%
14	23	82.4742%
14	42	82.4742%
15	32	82.2222%
15	48	81.8182%
15	42	81.8182%
27	51	81.5385%
3	41	81.4361%
6	32	80.9346%
12	18	80.9346%
7	42	80.8061%
21	24	80.7771%
21	32	80.7771%
14	18	80.6186%
21	28	80.5726%
21	47	80.5726%
23	31	80.2348%
23	41	80.0391%
47	48	79.8434%
12	51	79.6262%
15	28	79.596%
14	27	79.5876%
5	47	79.4175%
5	22	79.2233%
16	47	79.1962%
21	41	79.1411%
15	23	78.9899%
16	27	78.9598%
5	27	78.835%
3	32	78.634%
7	32	78.5029%
16	22	77.7778%
14	37	77.5258%
27	42	77.4359%
22	42	77.336%
23	32	77.2994%
31	39	77.1963%
15	41	76.9697%
46	48	76.9231%
5	15	76.8932%
6	27	76.8224%
14	32	76.701%
16	48	76.5957%
23	27	76.5166%
14	47	76.4948%
14	45	76.4948%
21	22	76.4826%
23	29	76.1252%
15	18	75.9596%
28	42	75.9223%
6	23	75.8878%
2	17	75.8319%
8	17	75.8319%
27	41	75.7265%
32	41	75.6714%
6	20	75.514%
14	29	75.0515%
28	46	74.9515%
23	39	74.9511%
16	28	74.9409%
37	42	74.7069%
12	41	74.5794%
22	48	74.5527%
4	17	74.2814%
12	32	74.0187%
15	47	73.9394%
5	48	73.7864%
7	23	73.7044%
27	32	73.6752%
31	38	73.6449%
7	41	73.5125%
8	20	73.38%
2	20	73.38%
1	4	73.3102%
5	20	73.0097%
5	12	73.0097%
14	24	72.9897%
22	23	72.9622%
22	45	72.9622%
6	48	72.8972%
6	12	72.8972%
14	28	72.7835%
5	6	72.6214%
5	32	72.6214%
5	14	72.6214%
5	42	72.6214%
22	29	72.5646%
